name,milk,crust,origin,senses,pairings,similarities
Abondance,Vache,Pressée cuite,"Provenance : Auvergne_Rhône-AlpesLabel : Appellation d'Origine Contrôlée AOC, Appellation d'Origine Protégée AOPLait : Lait cru de vache% Matière Grasse/Poids Total : 33 %","['Oeil : Croûtage lisse présentant les marques de la toile, de couleur ambrée, pâte jaune−ivoire avec quelques trous', 'Nez : Une odeur agréable.', 'Gout :Un goût fin, franc sur la noisette. Légère pointe d’amertume caractéristique.', 'Toucher : Une pâte souple et fondante.']","[<p>L’Abondance se consomme généralement avec un vin de Savoie. Par exemple, le Chasselas, un vin léger, ou alors un vin blanc sec : Chautagne blanc, Seyssel, Roussette du Bugey, Roussette de Savoie, Bugey blanc… Et pourquoi pas un Côtes du Jura blanc, un Anjou blanc ou un Bourgogne Vézelay ?</p>, <p>Par ailleurs, bonne nouvelle pour les amateurs de vin rouge, car l’Abondance se marie également avec ce nectar : Chignin rouge, Bourgogne Côte Chalonnaise rouge, Coteaux du Loir rouge… il y a l’embarres du choix.</p>]","['Gruyère Suisse d’Alpage AOP 12 Mois', 'Parmesan DOP', 'Etivaz AOP']"
Angors,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineLait : Lait cru de chèvreProducteur : Fromagerie des GorsParticularité : Artisanal,"['Oeil : forme de Losange', 'Nez : Odeur légèrement caprine, avec des nuances de champignons et de sous-bois', 'Goût : Goût de chèvre frais, marqué mais sans excès. Long en bouche.', 'Toucher : Texture fraiche']","[<p>L’Angors s’accompagne d’un vin blanc sec, tel qu’un Charentais.</p>]","['Crottin de Chavignol AOP', 'Bleu de Chèvre', 'Saint Marcellin fermier IGP', 'Pouligny-Saint-Pierre AOP fermier']"
Anneau de Saint Clément,Chèvre,Molle à croûte naturelle,Provenance : Nouvelle AquitaineLait : Lait cru de chèvreProducteur : EARL Ferme de TeinteillacParticularité : Fermier et Bio,"['Œil : Croûte striée, cendrée. Pâte blanche, serrée et crémeuse sous croûte.', 'Nez : Odeur caprine et puissante.', 'Goût : une petite acidité', 'Toucher : Pâte onctueuse']",[<p>L’anneau de Saint-Clément s’accompagne d’un vin blanc sec.</p>],"['Bouton de Culotte fermier', 'Crottin de Chavignol AOP', 'Saint-Félicien fermier', 'Pouligny-Saint-Pierre AOP fermier']"
Anneau du Vic-Bilh,Chèvre,Molle à croûte naturelle,Provenance : OccitanieLait : Lait cru de chèvreProducteur : Pierre LebbeParticularité : Fermier et Bio,"['Oeil : Croûte légèrement fleurie et plissée. Pâte blanche, serrée et crémeuse sous croûte', 'Nez : Odeur caprine et fraiche', 'Goût : une petite acidité', 'Toucher : Pâte délicate et onctueuse']",[<p>L’anneau de vic-bilh s’accompagne d’un vin blanc de type Pacherenc.</p>],"['Valençay AOP fermier', 'Bouton de Culotte fermier', 'Rocamadour AOP Fermier', 'Bethmale']"
Appenzeller,Vache,Pressée cuite,Provenance : SuisseLait : Lait cru de vache% Matière Grasse/Poids Total : 35 %,"['Oeil : croûte lisse et collante', 'Nez : Odeur balsamique et de peu développée', 'Goût : Fondant en bouche, notes de noisettes et une finale épicée', 'Toucher : Texture souple']","[<p style=""text-align: justify;"">L’Appenzeller se marie à un vin blanc sec tel qu’un Chablis, un muscadet ou un vin d’Alsace tel qu’un Pinot gris.</p>]","['Etivaz AOP', 'Tête de Moine entière', 'Gruyère Suisse d’Alpage AOP 12 Mois']"
Ariégeois,Vache,Pressée non cuite,Provenance : OccitanieProducteur : Jean Faup% Matière Grasse/Poids Total : 35 %Lait : Lait pasteurisé de Vache,"['Oeil : croûte plane et striées de couleur brune, avec une pâte aérée', 'Nez : faible odeur de lait et de foin tirant sur le fruit jaune (pêche ananas quand il est plus affiné)', 'Goût : fondant en bouche avec un goût délicat et frais', 'Toucher : pâte souple']","[<p style=""text-align: justify;"">L’Ariégeois est un fromage qui s’harmonise très bien avec un vin rouge tel qu’un côtes d’Auvergne Mardague.</p>]","['Tomme fermière au Foin', 'Saint Marcellin fermier IGP', 'Saint-Félicien fermier', 'Reblochon Fermier AOP entier']"
Baudaïe Bio,Vache,Molle à croûte lavée,Provenance : Pays de la Loire% Matière Grasse/Poids Total : 31 %Lait : Lait pasteurisé de Vache,"['Œil : pâte jaune pâle et souple. Croûte orangée.', 'Nez : Odeur lactique', 'Goût : Doux', 'Toucher : Pâte souple']","[<p>Le Saint Paulin s’accompagne de vins blancs secs, type Gaillac.</p>]","['Bleu de Gex AOP', 'Camembert de Normandie AOP', 'Neufchâtel AOP', 'Maroilles fermier AOP 1/2']"
Beaufort AOP,Vache,Pressée cuite,Provenance : Auvergne_Rhône-AlpesLabel : Appellation d'Origine Protégée AOP% Matière Grasse/Poids Total : 32 %Lait : Lait cru de vache,"['Oeil : Croûte légèrement rugueuse et pâte jaunâtre.', 'Nez :  odeur riche en nuances.', 'Goût : fruité et floral.', 'Toucher : La croûte est ferme et la pâte entre ferme et onctueuse, selon l’affinage.']","[<p>Le Beaufort se déguste nature, avec un verre de vin de Savoie, tel qu’un Apremont ou une Roussette-de-Savoie. Vous pouvez également l’accompagner d’un bourgogne, tel qu’un Meursault.</p>, <p>Si vous dégustez un Beaufort jeune, privilégiez un rouge léger, et s’il est affiné, une Roussette, qui apporte plus de fruits. S’il est vieux, choisissez un rouge tannique ou un vin blanc de Bourgogne type Corton.</p>, <p>Le Beaufort s’accorde également idéalement avec plusieurs vins de la région de Savoie comme un Chautagne blanc, un Marignan, un Montmélian, etc. Toutefois, vous pouvez aussi privilégier les vins d’autres régions. Par exemple, un vin blanc sec du Jura, un vin rouge de la Loire ou un vin blanc sec d’Auvergne.</p>]","['St-Nectaire Fermier AOP', 'Bleu d’Auvergne Fermier AOP', 'Camembert de Normandie AOP', 'Munster fermier AOP 1/2']"
Béret Savoyard,Vache,Pressée non cuite,Provenance : Auvergne_Rhône-AlpesProducteur : Fromagerie Mercier% Matière Grasse/Poids Total : 31 %Lait : Lait cru de vache,"['Œil : Forme assez plate comme le béret des chasseurs alpins.', 'Nez : Arômes de noisette.', 'Goût : Texture souple et fondante, goût légèrement parfumé et fruité. ', 'Toucher : Pâte pressée non cuite.']","[<p>Selon les principes d’accords vins-fromage, les produits qui proviennent de la même région forment toujours la bonne paire. En ce sens, le Béret Savoyard se marie parfaitement avec la Mondeuse AOC rouge de Savoie. Rustique et montagnard, le vin possède une saveur acide, parfumée et quelquefois épicée. Puis, lorsqu’elle murit, la Mondeuses AOC rouge développe ses arômes charpentés et perd de son tannin. Sans les occulter, le côté corsé du vin révèle très bien la saveur et les arômes du formage.</p>]","['Tomme d’Auvergne Mitée', 'Tome des Bauges AOP', 'Tomme de Yenne']"
Bergues Torchon,Vache,Molle à croûte lavée,Lait : Lait thermisé de vacheProvenance : Hauts-de-France% Matière Grasse/Poids Total : 20 %Particularité : Fermier,"['Oeil : croûte orangé', 'Nez : Odeur forte', 'Gout : Dominante lactique avec un goût de levure (affinage à la bière).', 'Toucher :  pâte moelleuse et crémeuse']",[<p>A accompagner avec un Côte de Toul rouge ou une bière blonde.</p>],"['Saint-Félicien fermier', 'St-Nectaire Fermier AOP', 'Brillat-Savarin IGP', 'Vacherin – Mont d’Or AOP (Boite d’environ 500g)']"
