name,milk,crust,origin,pairings,similarities,visual,smell,taste,touch
Abondance,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,"L’Abondance se consomme généralement avec un vin de Savoie. Par exemple, le Chasselas, un vin léger, ou alors un vin blanc sec : Chautagne blanc, Seyssel, Roussette du Bugey, Roussette de Savoie, Bugey blanc… Et pourquoi pas un Côtes du Jura blanc, un Anjou blanc ou un Bourgogne Vézelay ?, Par ailleurs, bonne nouvelle pour les amateurs de vin rouge, car l’Abondance se marie également avec ce nectar : Chignin rouge, Bourgogne Côte Chalonnaise rouge, Coteaux du Loir rouge… il y a l’embarres du choix.","['Gruyère Suisse d’Alpage AOP 12 Mois', 'Parmesan DOP', 'Etivaz AOP']"," Croûtage lisse présentant les marques de la toile, de couleur ambrée, pâte jaune−ivoire avec quelques trous", Une odeur agréable.,"Un goût fin, franc sur la noisette. Légère pointe d’amertume caractéristique.", Une pâte souple et fondante.
Angors,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"L’Angors s’accompagne d’un vin blanc sec, tel qu’un Charentais.","['Crottin de Chavignol AOP', 'Bleu de Chèvre', 'Saint Marcellin fermier IGP', 'Pouligny-Saint-Pierre AOP fermier']", forme de Losange," Odeur légèrement caprine, avec des nuances de champignons et de sous-bois"," Gout de chèvre frais, marqué mais sans excès. Long en bouche.", Texture fraiche
Anneau de Saint Clément,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,L’anneau de Saint-Clément s’accompagne d’un vin blanc sec.,"['Bouton de Culotte fermier', 'Crottin de Chavignol AOP', 'Saint-Félicien fermier', 'Pouligny-Saint-Pierre AOP fermier']"," Croûte striée, cendrée. Pâte blanche, serrée et crémeuse sous croûte.", Odeur caprine et puissante., une petite acidité, Pâte onctueuse
Anneau du Vic-Bilh,Chèvre,Molle à croûte naturelle,Occitanie ,L’anneau de vic-bilh s’accompagne d’un vin blanc de type Pacherenc.,"['Valençay AOP fermier', 'Bouton de Culotte fermier', 'Rocamadour AOP Fermier', 'Bethmale']"," Croûte légèrement fleurie et plissée. Pâte blanche, serrée et crémeuse sous croûte", Odeur caprine et fraiche, une petite acidité, Pâte délicate et onctueuse
Appenzeller,Vache,Pressée cuite,Suisse ,"L’Appenzeller se marie à un vin blanc sec tel qu’un Chablis, un muscadet ou un vin d’Alsace tel qu’un Pinot gris.","['Etivaz AOP', 'Tête de Moine entière', 'Gruyère Suisse d’Alpage AOP 12 Mois']", croûte lisse et collante, Odeur balsamique et de peu développée," Fondant en bouche, notes de noisettes et une finale épicée", Texture souple
Ariégeois,Vache,Pressée non cuite,Occitanie ,L’Ariégeois est un fromage qui s’harmonise très bien avec un vin rouge tel qu’un côtes d’Auvergne Mardague.,"['Tomme fermière au Foin', 'Saint Marcellin fermier IGP', 'Saint-Félicien fermier', 'Reblochon Fermier AOP entier']"," croûte plane et striées de couleur brune, avec une pâte aérée", faible odeur de lait et de foin tirant sur le fruit jaune (pêche ananas quand il est plus affiné), fondant en bouche avec un goût délicat et frais, pâte souple
Baudaïe Bio,Vache,Molle à croûte lavée,Pays de la Loire,"Le Saint Paulin s’accompagne de vins blancs secs, type Gaillac.","['Bleu de Gex AOP', 'Camembert de Normandie AOP', 'Neufchâtel AOP', 'Maroilles fermier AOP 1/2']", pâte jaune pâle et souple. Croûte orangée., Odeur lactique, Doux, Pâte souple
Beaufort AOP,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,"Le Beaufort se déguste nature, avec un verre de vin de Savoie, tel qu’un Apremont ou une Roussette-de-Savoie. Vous pouvez également l’accompagner d’un bourgogne, tel qu’un Meursault., Si vous dégustez un Beaufort jeune, privilégiez un rouge léger, et s’il est affiné, une Roussette, qui apporte plus de fruits. S’il est vieux, choisissez un rouge tannique ou un vin blanc de Bourgogne type Corton., Le Beaufort s’accorde également idéalement avec plusieurs vins de la région de Savoie comme un Chautagne blanc, un Marignan, un Montmélian, etc. Toutefois, vous pouvez aussi privilégier les vins d’autres régions. Par exemple, un vin blanc sec du Jura, un vin rouge de la Loire ou un vin blanc sec d’Auvergne.","['St-Nectaire Fermier AOP', 'Bleu d’Auvergne Fermier AOP', 'Camembert de Normandie AOP', 'Munster fermier AOP 1/2']", Croûte légèrement rugueuse et pâte jaunâtre.,  odeur riche en nuances., fruité et floral.," La croûte est ferme et la pâte entre ferme et onctueuse, selon l’affinage."
Béret Savoyard,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"Selon les principes d’accords vins-fromage, les produits qui proviennent de la même région forment toujours la bonne paire. En ce sens, le Béret Savoyard se marie parfaitement avec la Mondeuse AOC rouge de Savoie. Rustique et montagnard, le vin possède une saveur acide, parfumée et quelquefois épicée. Puis, lorsqu’elle murit, la Mondeuses AOC rouge développe ses arômes charpentés et perd de son tannin. Sans les occulter, le côté corsé du vin révèle très bien la saveur et les arômes du formage.","['Tomme d’Auvergne Mitée', 'Tome des Bauges AOP', 'Tomme de Yenne']", Forme assez plate comme le béret des chasseurs alpins., Arômes de noisette.," Texture souple et fondante, goût légèrement parfumé et fruité. ", Pâte pressée non cuite.
Bergues Torchon,Vache,Molle à croûte lavée,Hauts-de-France,A accompagner avec un Côte de Toul rouge ou une bière blonde.,"['Saint-Félicien fermier', 'St-Nectaire Fermier AOP', 'Brillat-Savarin IGP', 'Vacherin – Mont d’Or AOP (Boite d’environ 500g)']", croûte orangé, Odeur forte, Dominante lactique avec un goût de levure (affinage à la bière).,  pâte moelleuse et crémeuse
Besace Fermière,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"La Besace fermière s’accompagne d’un vin blanc sec de Savoie, tel qu’un Crépy ou un Seyssel.","['Buchette de Chèvre cendrée', 'Bleu de Chèvre', 'Bouton de Culotte fermier', 'Raclette Fumée']", Croûte jaune., nez floral.," Un peu aigre en bouche au début, mais la douceur arrive ensuite.", Pâte crémeuse.
Bethmale,Vache,Pressée non cuite,Occitanie ,"Le Bethmale est avant tout un fromage de fin repas qui s’harmonise au mieux avec un vin de Loire, blanc ou rouge mais vous pouvez également le déguster avec un Ariège rouge ou encore un Côte du Rhône.","['Tomme de Yenne', 'Cantal AOP Entre-Deux fermier', 'Tomme de Brebis des Pyrénées', 'Tomme d’Auvergne Mitée']"," croûte plane et fine légèrement striées, pâte aérée", Faible odeur de lait et de foin tirant sur le fruit jaune (pêche ananas quand il est plus affiné), de prononcé à piquant, pâte souple
Bethmale Chèvre,Chèvre,Pressée non cuite,Occitanie,Le Bethmale Chèvre se déguste avec un vin blanc fruité tel qu’un Chardonnay ou un Viognier.,"['Tomme Ail des Ours', 'Bouton de Culotte fermier', 'Sainte-Maure de Touraine AOP', 'Tome des Bauges AOP']", Pâte aérée avec une croûte brune, Faible odeur de lait et de foin, Arôme délicat agrémenté de notes de chèvre. Caprin en bouche., pâte souple
Bichonnet,Chèvre,Molle à croûte naturelle,Occitanie,"Le Bichonnet se déguste onctueux (Jeune) ou sec (plusieurs semaines d’affinage), accompagné d’un vin blanc comme un Sancerre ou un Pouilly fumé.","['Buchette de Chèvre cendrée', 'Pouligny-Saint-Pierre AOP fermier', 'Chabichou du Poitou AOP', 'Crottin de Chavignol AOP']"," croûte duveté, avec une légère moisissure", Odeur légèrement caprine, Gout aux effluves lactiques et légèrement noiseté," Pâte délicate, tendre et veloutée."
